document,topic
Local and regional leaders summit in Bonn - a summery ClimateKIC ClimateSusanne malmostad SharingcityGbg GlobalChamCPH Stockholmsstad nordicsolutions at cop23 GodmorgonSthlm SR_gmvarlden svpol AndersWijkman abjartnes usmayors EUROCITIEStweet,-1
The ClimateKIC champions present their solution at COP21 congratulation ROCKWOOLInt DTUtweet VELUX COWI,-1
"ICOE2018 will probably interest you, your members, students, researchers, companies ENSM CentraleNantes ENSTABretagne IUTStNazaire EnergieSorbonne PRESSECEREQNeopolia_ PoleMerBA PoleMerMed IRTJulesVerne Min_Ecologie InnoEnergyEU InnoEnergyFR SGMer Spread the word!",2
Empowering women to take positions of leadership will ensure the success of businesses EITawards EITcommunity EIT_Food EITeu,1
Find out which Climate-KIC student has been nominated for the EITeu CHANGE Award innovEIT EU education,0
Welcome members EIT_Digital VTTFinland antropiaessec startinpost iconiclabvc indigramLabs startup_mission vcatsindia 01Booster CubicalServices mzehub TheNestiO GazaSkyGeeks BIOCANT1 TheClothingBank ISDI_edu neapolisvng MWCapital Agora2030 studiognmsu TowsonU,1
"Digital Assembly 2018 Sofia; Europe steps up its Digital ambitions. A lot has been achieved, much more ahead: AI, Cybersecurity DigitalIndustry DigitalSkills DA18eu GabrielMariya ViolaRoberto EIT_Digital",1
"EITeu thanks for sharing EIT, have a great Wednesday :)",1
Hoping to find interesting tech companies for our EITDigitalAccel and our EITDigitalChallenge at StartupOle,1
Cu tomorrow EITDigitalAccel!,1
Excited to meet cleantech start-ups from all over Europe this week. Parity Platform will attend ClimateKIC international bootcamp in Frankfurt on May 08-11. Newsletter Website fintech finance energy startups investments,0
EITdigital18 Ecco tutti gli espositori all’evento sull’ innovazionedigitale in Europa Appuntamento a Bruxelles l'11 settembre EIT_Digital,1
Continúa abierta la convocatoria del Consejo Europeo de Innovación EUeic para financiar proyectos innovadores de pequeñas y medianas empresas frente al coronavirus. ➡️164 millones de euros en financiación. 🗓 Hasta el 18 de marzo 👉,1
Competing at today's Swiss BestClimateVenture LEDsafari Carbotopia WATTELSE younergy zgHeinrich Adaptricity GOOD LUCK! ClimateKIC,0
kate_ckic ClimateKIC sollazophoniasd fabienne_ckic pamr83 linegry PeterKoziel GlobalClimathon CopernicusEU EbrahimKIC cKIC_Alumni EbrahimKIC iRBansal are popular on social media now with 12k likes..... More than LeoDiCaprio RealHughJackman 😎😎😎😎,-1
"AlexRonda LIDIAGULLON FGP_ETSIME EITeu Mining_Barbara ayma_mining Y con comentarios como estos de nuestros visitantes, poco más nos queda decir, sino gracias a Europa School Sevilla",3
COP23Bonn UNFCCC ClimateKIC AndersWijkman ClimateSusanne WRIClimate CDP c40cities EURACTIV,0
You can catch up with the webinar recordings from the Resilient City Infrastructure Network here And join in the conversation| With ResiliencBrokrs ICLEI_ResCities imperialcollege ArupGroup Rezatec DFID_UK ICLEI_Europe ClimateKIC ResilienceIO,0
Smart Sustainable District Utrecht als case tijdens ClimateKIC journey2015 met CU2030 GemeenteUtrecht en usi_nl,0
"We can't afford the cost of inaction against climate change. A culture of risk is needed; risk implies responsibility. Innovation must work for the greater good. Passion yes, but with conscience and collective intelligence. ClimateKicStartupsMedia ClimateKIC ClimateKICspain",0
CLP2016 paneldiscussion fnauta TheCarbonSink ClimateKIC ivarsiimar centerforcarbonremoval climateKIC estban,0
"Excited to be working with EU-backed InnoEnergyEU on Vulcan's globally unique, combined ZeroCarbon Lithium and geothermal energy project. elonmusk mcannonbrookes EUClimateAction cleantechnica EV_Research",2
Just did my first module of reimooc! Nice intro to the climate change challenge. climatekicstart ClimateKIC,0
EIT_Digital el_pais TNavracsicsEU Here is one!.,1
Thanks katborlongan for sharing the news alert for the call EUeic JEPaquetEU GabrielMariya JeanDavidMALO1 EU_Commission EUScienceInnov DSMeu,1
Are you interested and able to help? Then join EIT_Digital efforts to develop COVID-19 contact tracing using physical tokens,1
An energetic start of gj4 ClimateKIC climatejourney17 Now at the zandmotor dezandmotor.nl,0
Met remcovvd andrebosman en tamaravanark op bezoek bij YESDelft en ClimateKIC programma. Klimaat- en energie startups bezoeken!,0
"Les équipes de InnoEnergyFR et InnoEnergyEU sont sur VivaTech cette semaine ! Rencontrez-nous stand M31 jusqu'à demain soir, et discutez avec nos start-ups enosis_energies solarisoffgrid, Duschkraft et TriggerSystems 🚀🚀 Nous vous attendons ! 👏 VivaTech Vivatech19",2
Great stuff. coldplasmatech and EITHealth (and the other EITAwards winners are really inspiring. More brilliant work from the EITeu Community!,1
Ready to roll! climatelaunchpad Denmark 2018 boot camp is ON! clp18 mikkeltrym ClimateLaunch EITeu ClimateKIC,0
Journey to Trondheim. Going to be discussing innovative project ideas for transport decarbonisation today with partners from CKICNordic Should we talk about aviation perhaps? nordicIdeation,-1
Thanks to recent funding from ClimateKIC EdCentreCC and HWUEntrepreneur we have installed new sensors to develop our flat-pack olar collector for developing countries. Fingers crossed for some sun!,0
Innovative epi_guard got EUeic funding in May 2019 for its Epishuttle pods that now save lives by safely transporting COVIDー19 patients More EU projects+funding opportunities: 👉 eicAccelerator eicPathfinder EU_H2020 EU_Commission GabrielMariya,1
Jetzt bewerben! Nur noch fünf Tage bis zum Bewerbungsschluss am 27.1.2019! €85k (95k beim Sidecall!) + Coaching &amp; Services. NoEquity Cleantech renewables Mobility startups ClimateKIC EITeu ERGOGroup MunichRe,0
""" ... the marketing goals for which the data are being gathered are taken into account in the process of synthesizing, thereby carefully trading off the loss of information with the gain in protection."" CyberSecurity360 EITDigitalAcad via HarvardBiz",1
"Susanne Pedersen, director of ClimateKIC of nordics talks to edielush hubculture COP21 COP21Paris about cities",0
"""Doing research for the sake of it isn’t enough. You have to think about how your work will have impact in the real world."" says Simone Accornero, CEO of FlexiDAO, a startup in the cleantech sector supported by EIT InnoEnergyEU. EITCommunity ➡",-1
"Looking forward to our very own KerstinKolumna working with Moedas, the European_Commission EUeic EUScienceInnov team and other board members on the future of EU_eic support for disruptive innovation! 🇪🇺 👏 niceone EU EC",1
"Check out all the pics of EBANSofia Annual Congress event in Sofia, Bulgaria! ABANAngels FiBAN_org _EVPA_ UBS CorkBIC HaloIreland 1millionstartup EU_Commission EU_EASME InnoEnergyEU",1
.IEEEsmartcities expert rsaracco of EIT_Digital explores new disease detection technology:,-1
EIT_Digital MasterSchool EITDigitalAcad came close in the final. Congratulations to Windesheiminfo ...,1
"Design, build and manage your own city in Lumen: City Challenge! We've worked with KU_Leuven and InnoEnergyEU to create a city-building simulation for a greener future. Download now at",-1
Professor from DTUtweet is giving the CKICNordic students the latest in SolarHeating climatejourney17 gj5 KbhUniNyheder,-1
Co_wheels_Brum IncyBwincy Bham_FOE ediblegardensBM GroOrganicUK ClimateKIC BrumHour BEPvoice andyreevo WTBBC amy_watson,0
Nederlandse Scaleup Quantoz een van de beste Fintech scaleups van Europa. Quantoz EIT_Digital,-1
Our CKICNordic partner annaclark001 from Trivector_ sharing lessons from the cross-European cycling innovation project at ITSWC18 NordicSolutions,0
The 'Tinder' of low-carbon innovations - connecting entrepreneurs with low-carbon inventors via ClimateKIC,-1
"Sean Lockie of ClimateKIC points out that retrofitting can improve the value of buildings, as well as air quality, standard of life and human health 🧑👨 PrioritisePeople",-1
UNEXMIN team in EITRawMaterials Drones&amp;Robotics for Exploration and Mining event. TampereUniTech TUT_Eng_Sci SMACCFinland,3
"At EITDigitalAccel, startups can participate in European innovation projects with big partners.",1
Já estamos no átrio do Edifício de Engenharia Civil no istecnico para dar a conhecer os mestrados InnoEnergyEU! Ficamos à vossa espera!,-1
"We are happy to welcome five promising startups to the first batch of the EITUrbanMob Accelerator programme in the regional hub Central: AssistanceBuddy, D3Technologies, Ducktrain_io, Tytovision, and Upride! startups mobility EITUrbanMobility xpreneurs",1
"KorusAfrica was present at the CLPNG19 organized by nigeriacic with support from WorldBank, Entirl, NigeriaGov, EDC4SME, ClimateKIC, AllOnEnergy, smefunds, arnergy and ClimateLaunch. 14 ventures in the green economy had the opportunity to pitch their startups to",-1
"Aus der Praxis: In unseren Live Q&amp;As am 22.06. erwartet euch Input von erfolgreichen Startups aus den Bereichen Energie, Mobilität oder SmartCity. Experten stehen außerdem Rede und Antwort wirgründen InnoEnergyEU EyStartup Technologiepark ⬇️",-1
Planning to apply to EITRawMaterials SINReM Master of Science in Sustainable and Innovative Natural Resource Management? Only 2 days left for EU students to submit their applications to ensure consideration for September 2020 entry. Apply now!,3
PierreRousseau BNPParibas argues “sustainable finance” discourse should extend scope to include multiple instruments: from Bonds to securitisation 2 role of leasing (particularly in scaling circulareconomy) to personal finance ClimateKIC missioninnovation,0
"THANK YOU to journalists, ClimateKIC startups who took part in 1st EIT journalists network meeting EITcommunity",0
"The website for ACTonNBS the network of cities accelerating nature-based solutions for healthy, climate resilience places is now live (Beta) drop by and let us know what you think EITeu ClimateKIC PeterHeadCBE Biomimicry_UK PeterMassini FutureARK",-1
📣📣📣 Proyecto Moby (EITUrbanMob) ✅Recabamos datos para determinar las necesidades y los requisitos de los usuarios en TransportesInnovadores y servicios de e-micromovilidad. Participa aquí 👉 Movilidad MovilidadUrbana Micromovilidad,1
"A recent event convened environmental, financial &amp; academic experts to discuss the project Climate Risks for Asset Managers (CRAMs), a collaboration between carbondelta &amp; PIK_Klima that's supported by EITeu ClimateKIC.",0
EITDigitalAcad summer school visiting AkateeminenCOM for breakfast. Super thanks to the awesomenest book store in Europe 👍🏻,1
Idag uppmärksammar MetalSupplySE vinnarna i sipstrim och EITRawMaterials innovationsidétävling. Två värdiga vinnare i Atium och ReVibeEnergy! Vinnova sipnytt,3
"“We need to think in systems we need to adress systems, it is systems that most urgently need to change. After 50 years of concern and policymaking around climate change it is systems that are not changing!” Thanks to KirstenCKIC of ClimateKIC for speaking at TIPConf2019",0
Great opportunity for AI DigitalHealth ClinTrials ClinTrials365 humanitcare npastohe EITeu,1
.EIT_Digital: a Milano un evento sulla trasformazione digitale dell’industria,1
ClimateKIC welcome to the Zero-e twitter on cleaner greener and leaner transport and mobility,0
Lisbon’s City Finance Lab-backed green participatory budget awarded €5 million for next cycle via ClimateKIC 👉 - sustainablecity,0
Live Now Washington D.C.’s Climathon: 24 hours to find wastemanagement solutions Climate ClimateKIC LiveEarth,0
Best of luck with the climathon hosted by our CKICNordic partner -the city of Helsinki. Look forward to see what will emerge when you liaise with the main stage climathon in Torino ClimateKICItaly twittitrentatre MiraJarkko,-1
"Thank you very much CambridgeZero! It was a very indulgent opportunity to talk about all my favourite topics AND current key projects and initiatives. ImpactWN with FayeHollandUK, and EITFood WELeadFood and RisingWISE with EntWomenOx opdacam and more IfMCambridge.",0
etsiaab ClimateKICspain CKJ_Valencia La_UPM ClimateKIC ckiclearning DAETSIAAB_UPM itdupm QuixoteJourney CKJ_Madrid ✨,0
"EITDigitalAccel If you are in Berlin this weekend, please join us and get your tickets ASAP EITAlumniStartupDays",1
"El equipo de la española zeleros ha sido reconocido como mejor innovación europea por el público en los galardones que entrega el EITeu. Y en la entrega, en Budapuest, estuvo nuestro compañero JulioMiravalls",1
"Proud to see the EIT Digital Accelerator EITDigitalAccel come up in the top 4 based on 1400 votes. Our specificity: scaleups only, no equity, pan European customer acquisition and fundraising!",1
".EITeu ClimateKIC’s Climate Innovation Summit is designed to foster meaningful climateaction—to uncover lever points and re-wire economies, says KirstenCKIC MissionFinance",0
energyefficiency in buildings as second business opportunity in cities in 2030 BolognaUT BUILDINTEREST ClimateKIC Aster_ER,-1
TheGCIndex InnoEnergyEU GCIC,2
"After 2 grilling days with ClimateKIC Launchpad and excellent business coaches Janet Murray, daturi et al, also ICEnterpriseLab Grantham_IC, makes me realise how fortunate students &amp; staff at ICL are. VCC, FONS-MAD, etc.. opportunities to translate creativity at our doorstep",0
More info about the event StartupsKillTheVirus 🦠 📢Session 1️⃣️(9am-9:45am) Participants: Luis Sánchez-Álvarez from EUeic &amp; Luis Guerra (LGuerra_CDTI) from Access2EIC Register here👉,1
.lemagnumerique Pas de santé sans cybersécurité ! ExcellenceCyber imagesreseaux EIT_Digital ID2SANTE BretagneBDI,1
REGISTER: Join the ClimateKIC community and the world's leading sustainablefinance innovators for a 3-day event in Dublin &gt; missionfinance,0
Egy jó kis program a jövő hétre. Az EIT_Digital budapesti eseményén menő akcelerátor programok is bemutatkoznak.,1
"Finalment anunciem l'organització, sense ells això no hauria estat possible! Gràcies carlesluz JordiVA Esprem que aquest cap de setmana passi a la història del territori fent-lo únic tots plegats! ClimateKIC ClimateKICspain ajgandesa CCTerra ClimathonGANDESA Climathon",0
Start of EITDigitalChallenge pitch EIT_Digital,1
Our latest newsletter focuses on the Circular Economy ~ ClimateKIC project &amp; our new team member KathBuildCirc ~ re-usable steel ~ healthy materials &amp; circulareconomy ~ insulation from bio&amp;waste materials SustainableBuildingProducts BuildCircular,0
Arranca el YoungClimathon en Valencia. Arranca con una charla de AndreuEscriva (vlcclimaenergia) Mucha energía y entusiasmo entre todos los participantes climatetalent JardiBotanicUV GlobalClimathon ClimateKIC,0
SAVE THE DATE📣 We are pleased to announce that the official opening of EIT Hub in Israel will take place on 9 December 2019 in Tel Aviv🇮🇱Details to come! EITeu EITHealth EIT_Food ClimateKIC EITUrbanMob More about EIT Hub in Israel:,1
"If 2019 was the year of a collective climate awakening, will 2020 be the year of collective action? Jennifer Dungs, Strategic Investor at at at InnoEnergyEU reveals the answer in this focus on transport, mobility and the energy transition in cities",0
Sol o batteri en bra hållbar combo ☀️EON_Nordic ClimateSusanne ClimateKIC NordicPartners,0
AndersVJensen NCCdk DanskByggeri IDAdk CKICNordic Tak💪🌍🙏,-1
"Pour un diagnostic + rapide de la maladie d' Alzheimer, un prototype appelé DELTA avec EIT_Digital &amp; KiElements",1
Bridging the gap between bankability and responsible investment ClimateAction cities4climate ClimateKIC,0
The INCO_Piles project is on! With the Resource Engineering group at TUDelft_CT we will be contributing to the geochem. &amp; mineralogical characterisation of mine wastes to find CRMs potential ⚒️🔬👩‍🔬 EITRawMaterials,3
"🇪🇺’s one-stop shop for innovation will support even more entrepreneurs, innovators &amp; students! Last week, we introduced EITManufactur &amp; EITUrbanMob at EITHouse in Brussels ➡ EITCommunity H2020 EUInnovation TBT ThrowbackThursdays",1
InnoEnergyEU annual Event TBB2017. Interested in EIT_Digital work on innovation and the EITDigitalAccel scaleup work? ping me!,1
A great chance for you to work at EIT HQ 😍We are looking for trainees to join us in Budapest &amp; Brussels &amp; power innovation with us! 💪 Apply before 31 January 👉 Share = 🔥 cKIC_Alumni digitalumni EITHealthAlumni CInnoenergy EITRMAcademy,1
New entrant to our startup accelerator Repamera is generating behavior change by making it cool to repair clothes rather than to buy new ones! AHallbarhet ClimateKIC,0
Consolidating synergies with the ClimateKIC - EIT in EU-CELAC context on Innovations for Biodiversity and Ecosystem Research &amp; Sustainable Management celac_i,0
hans.maennicke.sustainable.daily is out! klima ecosalon Stories: ClimateKIC SoleneWolff,-1
Eat your waterbottle. Biodegradeable &amp; costs 1p to make! Check out Ohoo! ClimateKIC UK VentureCompetition winner,0
Everything ready for the Cefriel Innovation day focused on Smart Industry Solutions implemented in OEDIPUS EIT_Digital AtosES AriMarcomm Industry40,1
Latest ESG &amp; Impact News! TBLI Daily! Thanks to MoneyPostBlog ClimateKIC upine sustainability,0
CircularEconomy in the sailing world is possible! Follow Useitagain_sail and their renovated trimaran for the routedurhum 2018 CKICNordic brunepoirson aqueraltf,0
Now live with bgiaccelerator for scaleup report porto ScaleupPorto EIT_Digital,1
"We are very glad to say that our FET-Proactive proposal AMAPOLA (A Marketable Polymer based Al-S battery) was successful! Working now in the GA. Thanks to the team! tugraz,unisouthampton,uniofleicester,DTUEnergy VARTA;Tech2Market,EUeic,Europeos_CSIC,ictp_promocion",2
Excited to see who will win the CKICNordic quiz at nordicpartners day,0
LeadershipMatters BarrySheerman PLarshans mattiasgoldmann bolund maxelger tomkerrglobal WRIClimate MikeBloomberg theWSBF Kommuninvest CDP southpoleglobal MarkWatts40 CeciliaRepinski ICLEI_advocacy AndersWijkman ClimateSusanne ClimateKIC edie ClimateKICLoCaL,-1
"Corporate-scaleup match-making event in EspooEsbo Finland. teliafinland , Telefonica , ibmfinland, densoeurope, Beiersdorf_AG and Fortum_Oyj pitching &amp; meeting with EITDigitalAccel scaleups.",1
What are the basic requirements for startups to scale internationally? fergiemiller EIT_Digital has the answer,1
La BCC è tra i firmatari del manifesto Un’economia a misura d’uomo contro la crisi climatica. Anche Novamont partner di ClimateKIC,0
krptndr ClimateKIC Sure come on by!,0
.EITeu shaping entrepreneurial mindsets and values in Europe,1
"📅 21 January 2020, 11:00h, Block III: Disruptive Start-Ups in the Raw Materials Sector. More info: rawmaterials ConnectingMatters EITRawMaterials",3
Here we are. All the italian partners of ClimateKIC Thank you Kirsten Dunlop for being with us!,0
che_mus25 SusNatIrl ClimateKIC relayr_cloud Thanks again to pjprendergast for setting the scene and core motivation for Climathon I can see huge solution-oriented energy in the room,0
Taas tehdään yhdessä Helsingistä maailman toimivin älykaupunki! Koolla ohjausryhmämme jossa mukana mm. ibmfinland CGI_FI TietoCorp teliafinland DemosHelsinki EIT_Digital ElisaOyj EloHelsinki Yleisradio SitraFund ja HelsinkiKymp,1
"Elisa Navarro, Programa de Emprendimiento de la actuaupm presenta a La_UPM como entidad socia y colaboradora del programa de aceleración del EITeu ClimateKIC en España en el lanzamiento Accelerator2020",0
Great to have our CKICNordic partner AaltoUniversity host the ClimateJourney18 participants again this year. Thanks ClimateAalto,0
"📣 Want to connect to EIT Health Alumni at a professional level? 😃 Check out our ALL NEW Linkedin page, and receive our latest opportunities! EITHealth EITalumni",1
Attending the EIT_Digital event at the UniversityofEdinburgh Informaticsforum schoolofinformatics every day is a school day,1
DLDConference EIT_Digital That’s good but better to focus on Learnability aka a Growth Mindset. We teach this all 2 years at GrowthTribe,1
"50 startups valencianas participan en el último ClimateKIC, el mayor programa europeo de emprendimiento.",0
"ClimateKIC &amp; partners have prepared a report sharing 4 inspiring case studies revealing how initiatives elsewhere have upended thinking about landscapes as change agents in the climatecrisis across Scotland, Inner Mongolia, the Netherlands &amp; Taiwan. 👉",0
Today with 60 EU universities to co-create EUinnovationecosystem as part of EUeic talking about connectedness and talent cc JEPaquetEU bindik LDFleming robinwauters abarrera GabrielMariya jd delcastillop StartUpEU Lauragestefani PoliticoRyan Moedas nnovick,1
Hi ClimateKIC and thanks for following us at EurotecEnviro sterilwave and we have followed you right back,0
"At COP23 today? Join us, ClimateKIC CDP and CDSBglobal for a masterclass on climatechange change reporting this afternoon from 16:00",0
"ClimateKIC Pioneers final workshop AessModena in Modena. Best Group project pitch is awarded LucaLombroso last book: ""Ciao fossili"". ClimateKICItaly yourpathyourfuture",0
Just one week left to help shape EITRawMaterials Academy’s new master programme in Mineral Exploration Geology! Find out more and contribute by completing our short survey. Deadline: 30 June mineralexploration geology rawmaterials,3
At the ClimateKIC alumni event. Protect what you love!!! Super thought!!!,0
"Soutenue par ClimateKIC, est une solution pour les villes sobres en carbone: elle mesure, cartographie et finance la réduction de CO2 des territoires à travers un seul service COP24 SUEZ4Climate innovation ChangementClimatique audreygarric",0
"Mobility and circular economy next biggest energy priorities, says InnoEnergy InnoEnergyEU renewableenergy energy",2
.IEEEsmartcities expert rsaracco of EIT_Digital discusses the advances in bionic hand:,-1
The EITalumni in collaboration with EITHealthAlumni digitalumni CommUnity by InnoEnergyEU are inviting you for the first joint event of 2018! If you are near Barcelona this is the opportunity you were waiting for!,1
Can't make it to the DigiEduHackMainEvent? Join the livestream now 👇 DigiEduHack EUDigitalEdu ClimateKIC AaltoUniversity UltrahackHQ DigitalEducation,-1
UraiaCIT fmdv_org WBG_Cities WeGov_org CITYNET_ORG smartccouncil NewCitiesFound ClimateKIC anticorruption WRIRossCities Thank you for sharing this information. I hope to learn and create it here in St.louis!,0
Study technical and economic features of OffGrid systems &amp; how to implement them FLOffGrid EITeu,2
ClimateKIC from small beginnings to international reach and international impact.,0
Demonstrating 5 slicing in the EIT_Digital project icaroeu. Happy to contribute to this project with the 5gempower platform. Airbus createnet FBKcom winetsys riggio_roberto,1
Looking fwd to the burst of new climate-positive startups CleantechInnov8 20 March! Applications now open for ClimateKIC Accelerator in Dublin via SusNatIrl &gt; …,0
"EITRawMaterials A big thank you EIT RawMaterials, for all the encouragements!",3
"""By combining bioenergy with the battery chemical production, the Terrafame Plant brings an important missing element to the greenbattery ecosystem in the Nordics."" Olli Salmi, EITRawMaterials Innovation Hub Director EITRawMaterialsPartner",2
"Want to learn how to turn your research into a business? Apply now for EITRawMaterials TOP STARS 2018 (Trento, July 16-25)",3
".MarkusKamieth, Member of the Board of Executive Directors at BASF SE, opening the BASF Innovation Day with EITRawMaterials. ConnectingMatters",3
EIT_Digital Daniel Michel Access to Finance strategy and Tips @ Paris DTC Innovation &amp; Entrepreneurship for PhD students. Great Guidance!!,1
Moedas cites weareKONUX as great example of innovation! EIT_Digital,1
"Join the EITUrbanMob Matchmaking event on 3-4 March in Eindhoven. Build project proposals for the Call for Proposals 2021, which will be launched soon! More info: innovation Businesscreation scalingup education cities industry cocreation EITeu",1
Attention PhD students working on SustainableLandUse: ClimateKIC is organizing an innovative SummerSchool --&gt;,0
missionfinance at ClimateKIC with SDDecleve speech remember reflection reboot,0
Good news for Scotland’s thriving low carbon business sector &gt; EdCentreCC's ClimateKIC Accelerator is back on the hunt for climate startups. Join the high-achieving alumni who bagged £1.75m and scooped an impressive 54 awards in 2018. Apply by 23 May &gt;,0
The next panel session at EIT_Digital Exploring Future Technologies EITD_EFT event is investigating security in future technologies- what are the core capabilities and threats? Saab UniOfSurrey CityUniLondon ValidSoft,1
📣New Call for Proposals! We welcome opportunities for cooperation with industrial partners provided by EITManufactur to help in overcoming the COVID_19 crisis. There are fast track projects linked to ecosystem of CIIRCCTU CVUTPraha CEITEC_Brno VUTvBrne DFKI NCP40 💪,1
Good news for Scotland’s thriving low carbon business sector &gt; ClimateKIC just launched EdCentreCC,0
PhD interested in joining a Summer School on SPS or GreenFinance ckicnordic &amp; ClimateKICHesse? Apply now,0
"S. Shepard, CEO Optima-Life loves FirstbeatInfo for its data, stories, real life and actions. EITDigitalAccel hrvsummit17",0
Super interessant &amp; godt at se en nødvendig indsats fra vores CKICNordic partner RISE Research Institutes of Sweden biofuels greenjetfuels,-1
".Gudrun_Freese, Communications &amp; Public Affairs Lead at ClimateKIC here interviews FloJVGschwend, Co-founder at ChrysalixTech, a UK-based startup focused on transforming waste materials into industrial feedstock.",0
"Almost 23k people are ""just"" on slack during this weekend's EUvsVirus hackathon issued by the European Commission - the actual size is probably higher. Happy to have been helping hackers since 8 am this morning 😏 coronavirus covid19 hackforeurope hackathons EUeic",1
.ClimateKIC €Billions EU imports linked to illegal deforestation &amp; KillerPalm Is EU 2020 pledge achievable ?,-1
"EU_EASME EU_Growth EEN_EU EEPA_EU EITRawMaterials EU_ecoinno See this interesting publication linking construction, SMEs and Circular Economy ConstructionMag PwC_EU_Services theFIEC circecon CircularEcology",3
Participants are arriving for the first day of the EITeu Digital Health Validator! They will be learning how to commercialize and develop their revolutionary innovations from industry leaders at Trinity this summer! LaunchPad_TCD TCDTangent TrinityEIT19 TCDTangent,1
Another weekend - another EuvsVirusHackathon! Just did a round of speed-dating 🦸🦸‍♀️😉 Looking forward to working with new partners. Anyone needs data solution building? Get in touch. We'll equip you w tools+ consultancy📈 EUvsVirus EU_Commission EUeic EU_H2020 isidrolaso,1
ClimateKIC SilviaZuur LizzieLaShark ChalkleNZ Excited to hear your solutions! Good luck - Climathon in Winterthur soon over,0
The RawMatCop course participants discovering the potential of Earth observation and remote sensing for the rawmaterials community 🛰 EITRMAcademy,3
Mobile user 30-minutes series: Acquisition strategies that pay (VB Live) via EITeu,1
Please get in touch with us at EITHubSV to connect and create opportunities for fruitful collaboration. We look forward to intensifying and expanding our partnerships in the SF Bay Area. EITeu EIT_Digital ClimateKIC EIT_Food EITHealth EITRawMaterials InnoEnergyEU,1
Great to hear from Tjerk of CU2030 about the importancy of bringimg innovative knowledge to utrecht of ClimateKIC for greening city,0
"Karim Tarraf, CEO, Hawa Dawa, is eligible to win the EIT Venture Award and the EIT Public Award. Karim is working to ""mainstream environmental data, particularly air quality data, into decision-making on the future of cities."" EITAwards EITCommunity",-1
"PLENARY SPEAKERS at the eusw2019. Annual EU_Commission conference agenda: ""How can space solutions help Europe's position as a global leader in climate action"" CopernicusEU CopernicusECMWF ECMWF EU_GNSS ClimateKIC UNFCCC UNOOSA UNEP EITeu",0
PyroFlex offers a network of pyrometallurgical infrastructure and expertise for residue treatment. Submit a request via its web-based service platform: Read more: Funded EITRawMaterials,3
"Day 2 - MissionFinance in Dublin of Climate Innovation Summit 2018 climatechange ClimateKIC investing in the tomorrow we want, today, turn the dream in a vision thinkingnew missioninnovation Inspire Aster_ER",0
InnoEnergyEU I support sustainable energy. Am environmental science student.,2
"EIT_Digital, Fluxedo_Biz is coming all the way from Milan to present socialOmeters and comosc2 bigdata iot socialmedia smartcities",1
Step 1 to reach systemic change? Know what assumptions you're working with. Kirsten Dunlop of ClimateKIC at UnleashLab2017,0
Miss the Climetrics launch yesterday? Watch it again here greenfinance ClimateKIC CDP DeutscheBoerse,0
EIT_Digital,1
Become a Pioneer now on Climate actions - apply now ClimateKIC innobham,0
Meetup at EIT_Digital Berlin w/ saschakronberg giving entrepreneurs insides on sales strategies,1
Arrancamos el International Workshop del PioneersintoPractice ClimateKIC PIP,0
What we can do on social and individual level to avoid more than 1.5 degree global warming? 🙋 Knowledge communities responding to the UNFCCC report on Climate Change's latest report. Read the ways NTNU relates to this intriguing question: EITeu,0
Damit wir auch in Zukunft den Frühling genießen können. Ideen gegen den Klimawandel gesucht! Diese Acceleratoren unterstützen Startups mit nachhaltigen Geschäftsideen. Einfach durchstarten! 🌱 _smartgreen ClimateKIC start_green_,0
"Would you like to start a circular company, or create circular innovation within your company? C:\BOOT helps you open the door to start-up incubation programmes of EITRawMaterials and beyond. Find out more &amp; sign up at lifelonglearning CircularEconomy",3
SEC2SV ABTasty sélectionné pour représenter la France à SanFrancisco Maddyness scaleup EIT_Digital Europe,-1
What a great start for WinterSchoolInfactPacific! Day one closed with talks from Vitor_EurGeol (intrawobs) &amp; Irene Benito Rodriguez (EITRawMaterials). They gave us insights about future challenges of mining and encouraged us to unlock the potential of Copernicus data!,3
Saturday working on ldalzovo birthday and pitching qirate locationintelligence at Unibocconi CopernicusEU ESA_EO ESAbusinessapps Aster_ER ClimateKIC ClimateKICItaly erstartup SA_Tecnopolo AZO_space CopernicusEMC coLABoRavenna OrganiCity_eu FIWARE,0
tnwx EITDigitalAccel Proud to be selected among TheNextWeb’s best DeepTech scale-ups for 2018! air pollution AI,1
"""In our generation, innovation is happening everywhere."" Estafania Tapias of ClimateKIC Alumni Network SIF15",0
".EITRawMaterials goes to PDAC2018! Stop by our booth # 6516N and join the Presentation Day showcasing innovation, technologies, investments and current activities within exploration &amp; mining in Europe. EITRawMaterialsPDAC2018 rawmaterials",3
"FoodNexusEU network meeting in Copenhagen, promising messages on the strength of EITeu food-kic bid, fingers crossed SkaneEUoffice",1
.ClimateKIC DEVASTATING effects of KillerPalm fires greenhouse gases on climate must STOP,-1
"🔛También estamos en la jornada MATCHMAKING EIT MANUFACTURING, LA NUEVA RED DE LA INNOVACIÓN Manufacturing EITManufactur",1
Who’s the ClimateKIC Boss? Nerdalize is! Congrats for taking the prize home!,0
losman_vgre AndersWijkman Importantly for chalmersftw and IKChalmers is that AndersWijkman is also chairman of ClimateKIC,0
How Facebook’s attack on ad blockers screws publishers via EITeu,1
EITCommunity delivering significant impact for Europe and its citizens. Read more about the successes in each of the EITeu's key areas in the new Impact Study: EUinnovation H2020 impact,1
